"Step","lejepa_nano_cifar100 - val/linear_probe_acc","lejepa_nano_cifar100 - val/linear_probe_acc__MIN","lejepa_nano_cifar100 - val/linear_probe_acc__MAX"
"0","0.089","0.089","0.089"
"2000","0.22475","0.22475","0.22475"
"4000","0.27125","0.27125","0.27125"
"6000","0.30875","0.30875","0.30875"
"8000","0.34025","0.34025","0.34025"
"10000","0.37325","0.37325","0.37325"
"12000","0.39375","0.39375","0.39375"
"14000","0.408","0.408","0.408"
"16000","0.42325","0.42325","0.42325"
"18000","0.428","0.428","0.428"
"20000","0.43975","0.43975","0.43975"
"22000","0.45","0.45","0.45"
"24000","0.45625","0.45625","0.45625"
"26000","0.47","0.47","0.47"
"28000","0.47475","0.47475","0.47475"
"30000","0.4695","0.4695","0.4695"
"32000","0.479","0.479","0.479"
"34000","0.48","0.48","0.48"
"36000","0.48575","0.48575","0.48575"
"38000","0.49475","0.49475","0.49475"
"40000","0.499","0.499","0.499"
"42000","0.49775","0.49775","0.49775"
"44000","0.5015","0.5015","0.5015"
"46000","0.508","0.508","0.508"
"48000","0.511","0.511","0.511"
"50000","0.51225","0.51225","0.51225"
"52000","0.515","0.515","0.515"
"54000","0.51875","0.51875","0.51875"
"56000","0.52025","0.52025","0.52025"
"58000","0.52275","0.52275","0.52275"
"60000","0.5305","0.5305","0.5305"
"62000","0.53725","0.53725","0.53725"
"64000","0.53025","0.53025","0.53025"
"66000","0.5405","0.5405","0.5405"
"68000","0.54225","0.54225","0.54225"
"70000","0.5445","0.5445","0.5445"
"72000","0.5415","0.5415","0.5415"
"74000","0.5495","0.5495","0.5495"
"76000","0.54425","0.54425","0.54425"
"78000","0.547","0.547","0.547"
"80000","0.551","0.551","0.551"
"82000","0.5585","0.5585","0.5585"
"84000","0.554","0.554","0.554"
"86000","0.5575","0.5575","0.5575"
"88000","0.558","0.558","0.558"
"90000","0.56775","0.56775","0.56775"
"92000","0.56475","0.56475","0.56475"
"94000","0.57325","0.57325","0.57325"
"96000","0.56725","0.56725","0.56725"
"98000","0.561","0.561","0.561"
"100000","0.56875","0.56875","0.56875"
"102000","0.57625","0.57625","0.57625"
"104000","0.5675","0.5675","0.5675"
"106000","0.5755","0.5755","0.5755"
"108000","0.585","0.585","0.585"
"110000","0.588","0.588","0.588"
"112000","0.58175","0.58175","0.58175"
"114000","0.581","0.581","0.581"
"116000","0.58625","0.58625","0.58625"
"118000","0.584","0.584","0.584"
"120000","0.5865","0.5865","0.5865"
"122000","0.58475","0.58475","0.58475"
"124000","0.57975","0.57975","0.57975"
"126000","0.58875","0.58875","0.58875"
"128000","0.58925","0.58925","0.58925"
"130000","0.594","0.594","0.594"
"132000","0.5905","0.5905","0.5905"
"134000","0.591","0.591","0.591"
"136000","0.59","0.59","0.59"
"138000","0.58875","0.58875","0.58875"
"140000","0.5895","0.5895","0.5895"
"142000","0.5965","0.5965","0.5965"
"144000","0.594","0.594","0.594"
"146000","0.599","0.599","0.599"
"148000","0.59425","0.59425","0.59425"
"150000","0.605","0.605","0.605"
"152000","0.5975","0.5975","0.5975"
"154000","0.60325","0.60325","0.60325"
"156000","0.6055","0.6055","0.6055"
"158000","0.6055","0.6055","0.6055"
"160000","0.60175","0.60175","0.60175"
"162000","0.601","0.601","0.601"
"164000","0.59375","0.59375","0.59375"
"166000","0.601","0.601","0.601"
"168000","0.60625","0.60625","0.60625"
"170000","0.61","0.61","0.61"
"172000","0.6055","0.6055","0.6055"
"174000","0.6095","0.6095","0.6095"
"176000","0.612","0.612","0.612"
"178000","0.605","0.605","0.605"
"180000","0.6025","0.6025","0.6025"
"182000","0.6045","0.6045","0.6045"
"184000","0.61425","0.61425","0.61425"
"186000","0.6065","0.6065","0.6065"
"188000","0.6085","0.6085","0.6085"
"190000","0.6085","0.6085","0.6085"
"192000","0.61325","0.61325","0.61325"
"194000","0.61075","0.61075","0.61075"
"196000","0.6095","0.6095","0.6095"
"198000","0.61175","0.61175","0.61175"
"200000","0.612","0.612","0.612"
"202000","0.617","0.617","0.617"
"204000","0.6105","0.6105","0.6105"
"206000","0.60825","0.60825","0.60825"
"208000","0.6125","0.6125","0.6125"
"210000","0.61125","0.61125","0.61125"
"212000","0.61075","0.61075","0.61075"
"214000","0.61025","0.61025","0.61025"
"216000","0.61625","0.61625","0.61625"
